,Accuracy,Precision,Recall,F1,Log-Loss-Value,AUC
0,0.9353551476456504,0.9465747522619561,0.9829977628635347,0.9644424934152765,0.16059875060475692,0.9509365429224761
1,0.9329608938547486,0.9473455178416014,0.9788669064748201,0.9628482972136223,0.15694346584249472,0.9571637902444003
2,0.9333599361532322,0.9473911168607159,0.97992863514719,0.9633852225389169,0.16091461845374344,0.9495766090882058
3,0.9317637669592976,0.9503700478885503,0.9745535714285715,0.9623098964073176,0.16393127649057854,0.9458856404403866
4,0.8894652833200319,0.8894652833200319,1.0,0.9414994720168954,0.3477972440907633,0.5
5,0.9337589784517158,0.9476417135439203,0.9798657718120806,0.9634843818741751,0.1561745693494389,0.9554628230846066
6,0.9301675977653632,0.9484491044124072,0.9744165170556554,0.9612574717733009,0.16121604903977557,0.9522993813207961
7,0.9349561053471668,0.9519020550940096,0.9762331838565023,0.9639141022802745,0.15735112689861652,0.9536898030805225
8,0.9325618515562649,0.9452350150927123,0.981199641897941,0.9628816165165824,0.16434681958061986,0.9487507570172206
9,0.8838786911412609,0.8838786911412609,1.0,0.9383605168396526,0.36068781669242156,0.5
10,0.9341580207501995,0.9435173299101413,0.985254691689008,0.9639344262295082,0.1564146305568368,0.9550054686353754
11,0.9333599361532322,0.9565026362038664,0.9697104677060133,0.9630612696306127,0.15479366839532258,0.9550179624367475
12,0.9289704708699122,0.9503267973856209,0.9714922048997773,0.9607929515418502,0.15837639070433465,0.9513427028134039
13,0.9381484437350359,0.9539530842745438,0.978173719376392,0.9659115900593798,0.14939811424847385,0.9563977847750215
14,0.9317637669592976,0.9537852112676056,0.9704433497536946,0.9620421753607103,0.15836924676848635,0.9541870280786537
15,0.9385474860335196,0.949159844894442,0.9839213934792318,0.9662280701754385,0.15518460149215269,0.9542490711978495
16,0.9357541899441341,0.9451585261353899,0.9852612773559625,0.964793352285152,0.1634483674127246,0.9475897981475813
17,0.9349561053471668,0.9472774416594641,0.9816390506045678,0.9641521882559929,0.15838683994339361,0.9529477091053445
18,0.9341580207501995,0.9539271610355419,0.973142345568487,0.9634389541325061,0.15874438038178687,0.9517895228816684
19,0.8938547486033519,0.8938547486033519,1.0,0.943952802359882,0.3384382463949741,0.5
20,0.928172386272945,0.943176926388291,0.9785618579723091,0.9605436212187637,0.16262059578851232,0.9499785049839999
21,0.9381484437350359,0.955933682373473,0.9759465478841871,0.9658364558078025,0.15015512116905794,0.9557586462893275
22,0.9293695131683959,0.9446623093681917,0.9774571686203787,0.9607799689785065,0.1669187298222026,0.9506335474902314
23,0.9357541899441341,0.9495432796868204,0.979802513464991,0.9644356085707975,0.1564180437318016,0.9559828797644111
24,0.9301675977653632,0.9478033927794693,0.9753804834377797,0.9613942201632473,0.1569332614378978,0.9556799331191742
25,0.9297685554668795,0.9422164726175075,0.9811405478221823,0.961284645842499,0.16787555048872327,0.9493556595255686
26,0.9365522745411013,0.9485861182519281,0.9826897470039947,0.9653368214519293,0.15173072590068135,0.9547042239683934
27,0.8930566640063847,0.8930566640063847,1.0,0.9435075885328836,0.3400893363554681,0.5
28,0.9317637669592976,0.9457229700390795,0.97931654676259,0.9622266401590457,0.1651328519735206,0.9497216056941682
29,0.9317637669592976,0.9549825174825175,0.9698180204172215,0.9623430962343096,0.160350848662913,0.949199047734334
Mean,0.9275472200053202,0.9410466803940264,0.9809071308118354,0.9603459972622278,0.18399137628908244,0.8921102147946625
Std,0.01500868881134576,0.02038692841502106,0.00859146660124453,0.0074633402940288765,0.06406868604659138,0.15382391793060562
