,model_name,accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,decision_tree_pre_pruning,0.8148443735035913,0.5649910233393178,0.8125348109179467,0.5601195086755741
1,decision_tree_post_pruning,0.6717478052673582,0.6258527827648115,0.6616347935798058,0.6125346798519969
2,random_forest_150_trees_0,1.0,0.6241172950329144,1.0,0.615435970120515
3,gradient_boost_150_trees_0.02,0.6997605746209098,0.6310592459605027,0.6898667993831605,0.6148235579250321
4,gradient_boost_70_trees_0.05,0.7079808459696728,0.6301017354877319,0.6992127071573879,0.6145736724801776
5,gradient_boost_30_trees_0.1,0.7001995211492418,0.63081986834231,0.6906617056656581,0.61468729070754
6,gradient_boost_11_trees_0.3,0.706464485235435,0.6309994015559546,0.6986306918979841,0.617367045179768
7,xg_boost_13_trees_0.1,0.8201516360734237,0.6250748055056852,0.8187415910035583,0.6158314138638311
8,xg_boost_13_trees_1,0.8040702314445332,0.6241172950329144,0.8021312494190334,0.6145477795038564
9,xg_boost_11_trees_3,0.7727853152434158,0.6300418910831838,0.7696117425250137,0.6193218929669204
10,xg_boost_13_trees_5,0.768435754189944,0.6306403351286655,0.764941559245689,0.6204094760727265
11,xg_boost_13_trees_9,0.753631284916201,0.6315380011968881,0.7496019730045801,0.6209967745206926
12,xg_boost_20_trees_15,0.7610933758978452,0.6319569120287253,0.7576669929564537,0.622688932655098
