,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.45331205107741424,0.45182525433871934,0.2828628978128779,0.2813875965316641
1,3.0,0.45331205107741424,0.45182525433871934,0.2828628978128779,0.2813875965316641
2,5.0,0.45331205107741424,0.45182525433871934,0.2828628978128779,0.2813875965316641
3,7.0,0.45331205107741424,0.45182525433871934,0.2828628978128779,0.2813875965316641
4,11.0,0.5007581803671189,0.492818671454219,0.37010847226409216,0.3596124653354334
5,13.0,0.5220670391061453,0.5108916816277678,0.4107860256554572,0.3966599581346619
6,20.0,0.5797286512370311,0.5541591861160982,0.5142740358507576,0.4824558968697625
7,30.0,0.6155227454110136,0.5839616995810892,0.5715355712295345,0.5332339451006283
8,50.0,0.6485634477254589,0.613704368641532,0.6208183526105528,0.5801459707270401
9,70.0,0.6647246608140462,0.6243566726511072,0.6456109852195673,0.5994103463510634
10,90.0,0.6746209098164405,0.6266307600239378,0.6593391223836806,0.605618144775449
11,120.0,0.6879888268156424,0.6296828246558945,0.675794987937726,0.6118201602666313
12,150.0,0.6997605746209098,0.6310592459605027,0.6898667993831605,0.6148235579250321
13,200.0,0.714804469273743,0.6293836026331538,0.7070486404435832,0.6145789596867457
