,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.8289704708699123,0.5508677438659486,0.8235574537437641,0.528049218370285
1,3.0,0.9141260973663208,0.5532615200478755,0.9138006957580707,0.5447921759932758
2,5.0,0.9482043096568237,0.579413524835428,0.9480205632756261,0.5703589883624869
3,7.0,0.9697924980047885,0.585996409335727,0.9696947642990953,0.5771023526829833
4,11.0,0.9857541899441342,0.6031717534410533,0.9857321144279145,0.5942229857359667
5,13.0,0.9896249002394255,0.601735487731897,0.9896127220128962,0.5934487524810776
6,20.0,0.9950917797286513,0.6113704368641532,0.9950892924443199,0.6018346110591145
7,30.0,0.9987629688747006,0.6155595451825254,0.9987628557288428,0.6061345764284677
8,50.0,0.9998802873104549,0.6193895870736087,0.9998802309336441,0.6105690428898888
9,70.0,0.9999600957701518,0.6225014961101137,0.999960089898746,0.6137456931653581
10,90.0,0.9999600957701518,0.6231597845601436,0.9999601014654322,0.6145773923623927
11,120.0,1.0,0.6220825852782765,1.0,0.6137067799296608
12,150.0,1.0,0.6241172950329144,1.0,0.615435970120515
13,200.0,1.0,0.6207660083782167,1.0,0.6120118193824944
