,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.7366719872306465,0.6181926989826452,0.731328545423019,0.6058273983826218
1,3.0,0.7448922585794093,0.6198683423099941,0.739771930020036,0.6073698655016687
2,5.0,0.7660415003990422,0.6222022740873728,0.7621358159840417,0.6100505693704572
3,7.0,0.7845171588188349,0.6219030520646319,0.7817640785080222,0.6107569847431881
4,11.0,0.8101755786113328,0.624655894673848,0.8083796113906979,0.6149520480032427
5,13.0,0.8201516360734237,0.6250748055056852,0.8187415910035583,0.6158314138638311
6,15.0,0.8291300877893057,0.6245362058647517,0.8279351411108573,0.6156175512945478
7,17.0,0.8407023144453312,0.6230400957510474,0.8397387228119275,0.6145885049570452
8,20.0,0.8523543495610534,0.6240574506283663,0.8516818703071142,0.6158039915791134
9,25.0,0.8736632083000797,0.6198084979054459,0.8732360200202771,0.6115084048895482
10,30.0,0.8955307262569832,0.6182525433871933,0.8953481025056634,0.6105974193891476
11,40.0,0.9304868316041499,0.6156193895870736,0.9304309610447037,0.6087357143175736
12,50.0,0.9586991221069434,0.6128067025733095,0.9586805454913341,0.606432502756751
