,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.6985634477254589,0.6182525433871933,0.6900977062581721,0.6037612391874919
1,3.0,0.706903431763767,0.6237582286056254,0.699026050707839,0.6098470876133343
2,5.0,0.7249401436552275,0.6272890484739676,0.7186107874549842,0.6146479821341468
3,7.0,0.7397845171588189,0.6286654697785756,0.7345531550323042,0.6161961076701447
4,11.0,0.7602553870710296,0.6299222022740875,0.7563087686564656,0.6191077724559472
5,13.0,0.768435754189944,0.6306403351286655,0.764941559245689,0.6204094760727265
6,15.0,0.7771747805267358,0.6298025134649909,0.7741045296157518,0.6200358490738137
7,17.0,0.7849162011173185,0.6289048473967684,0.7821275859586692,0.6194569816729011
8,20.0,0.7948124501197127,0.6270496708557749,0.7925218071450334,0.6180634287092182
9,25.0,0.8116121308858739,0.6252543387193298,0.8098483130047859,0.6170583843158183
10,30.0,0.8257382282521947,0.6239377618192699,0.8243553166788695,0.6162436923046571
11,40.0,0.8546687948922586,0.6216038300418911,0.8538724108459486,0.6145364852248753
12,50.0,0.8836392657621708,0.6194494314781569,0.8832245838969695,0.6128795697984027
