,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.7568653545926854,0.7626871401151631,0.6521218754587154,0.6600055795029427
1,3.0,0.7568653545926854,0.7626871401151631,0.6521218754587154,0.6600055795029427
2,5.0,0.7593222941673278,0.7644529750479846,0.6578998513516241,0.6641730117008867
3,7.0,0.7652854912599494,0.7704798464491363,0.6715389437045406,0.678026272491404
4,11.0,0.8042382207662581,0.8085604606525911,0.76622389810603,0.7711932912275494
5,13.0,0.8120697156604305,0.8149328214971209,0.7796975944779387,0.7823994570169535
6,20.0,0.8301640519028485,0.8309404990403071,0.8118789487369524,0.8123460659198026
7,30.0,0.8365111458040079,0.8366218809980807,0.8211964259672844,0.8208729556140546
8,50.0,0.8470043252373762,0.8468330134357006,0.835147153520766,0.8347022295144445
9,70.0,0.8525580324008907,0.8527063339731286,0.8421416828099962,0.8419758382775251
10,90.0,0.8548358201315487,0.8538963531669865,0.8451964955211066,0.8438865783298293
11,120.0,0.8580605533232667,0.8579654510556622,0.8490828087491757,0.8488550081754052
12,150.0,0.8604663066567707,0.8597312859884837,0.8519556341393377,0.8510288011995366
13,200.0,0.8631023980753973,0.8618426103646833,0.8549397370312362,0.8534209087220244
