,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.9426202236838738,0.8743186180422264,0.9410583221014356,0.8665757630330847
1,3.0,0.9643487830471169,0.8990019193857965,0.9642080048688682,0.897807479501351
2,5.0,0.9711565531185218,0.9061420345489444,0.9710287262218577,0.9048509226046958
3,7.0,0.9742021344662555,0.9115547024952015,0.9740921241290906,0.9101787579011105
4,11.0,0.9764287359557751,0.9161228406909789,0.9763374056553722,0.9149690249044009
5,13.0,0.9774524607785428,0.917658349328215,0.9773609170645191,0.9164894303707543
6,20.0,0.9777083919842346,0.9170441458733205,0.9776029519588325,0.9153801077274847
7,30.0,0.9787065236864331,0.9191554702495202,0.9786299276903079,0.9177160659827961
8,50.0,0.9788600824098482,0.9195393474088291,0.978776997705441,0.9182465665013362
9,70.0,0.9790392342538325,0.9201919385796545,0.9789642223003651,0.9189223859023744
10,90.0,0.9790136411332634,0.9218426103646833,0.9789420239520646,0.9205518103382112
11,120.0,0.9790392342538325,0.921957773512476,0.9789642223003651,0.9207511178621592
12,150.0,0.9790392342538325,0.9227255278310941,0.9789603470338746,0.9214269822150862
13,200.0,0.9790392342538325,0.9214971209213052,0.9789618979311383,0.9201980972994799
