,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.8432421365137052,0.8438771593090211,0.8334559059004424,0.8342521208652909
1,3.0,0.8506385483582013,0.849443378119002,0.8412675922213326,0.8400895125028744
2,5.0,0.8571136078622066,0.8532437619961613,0.8515772484962357,0.8475240901745194
3,7.0,0.8605942722596166,0.8554702495201536,0.8550223689945557,0.8496622146792532
4,11.0,0.8660712000614235,0.8593857965451056,0.8608949554186479,0.8537885057034704
5,13.0,0.8687840708417577,0.8613051823416507,0.8640920080525816,0.8561802692645526
6,15.0,0.8711898241752617,0.8623032629558541,0.866960884882818,0.8576210291552011
7,17.0,0.8739282880761651,0.8631861804222649,0.8699563863185521,0.858658317669822
8,20.0,0.8756942133954393,0.8636084452975048,0.8719183702551933,0.8593645566609088
9,25.0,0.878995725948865,0.8652591170825336,0.8755656241493962,0.8612916232843933
10,30.0,0.88168300360863,0.8668330134357006,0.8783584961575175,0.8629822928739426
11,40.0,0.8864945102756379,0.8693666026871402,0.883468379765189,0.8655799477366786
12,50.0,0.8918178793540297,0.8692898272552783,0.8893576385103288,0.8657750129264418
