,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.843753998925089,0.8436468330134357,0.8336798832791417,0.8336661105614882
1,3.0,0.8507153277199089,0.849021113243762,0.8405725651919177,0.8387113789233986
2,5.0,0.8576254702735905,0.8545489443378119,0.8493411612363333,0.8460818681225851
3,7.0,0.8597241061602641,0.8568522072936661,0.8528474001275016,0.8497995968894102
4,11.0,0.8648939165152407,0.8605374280230327,0.8584737683734467,0.8538231902758096
5,13.0,0.8665574693522381,0.8628023032629558,0.8600608869644669,0.8560262499215713
6,15.0,0.8701405062319248,0.8632629558541267,0.8649788259874949,0.8575538276447632
7,17.0,0.8715481278632303,0.8644529750479847,0.8661409129876898,0.8584840497626358
8,20.0,0.8755918409131626,0.865911708253359,0.8706376904599639,0.8602770854873063
9,25.0,0.8784838635374811,0.8669481765834933,0.8738670082329368,0.8617876954967673
10,30.0,0.8829370665165204,0.8700959692898272,0.8788374287864242,0.8650575769074034
11,40.0,0.8865456965167763,0.8715163147792706,0.8829055152698141,0.8668450520417221
12,50.0,0.8895144985028024,0.8724376199616123,0.8861127215412019,0.8680627397552174
