,min_samples_split,min_samples_leaf,max_depth,criterion,accuracy_train_mean,accuracy_test_mean,F1_train_mean,F1_test_mean
0,2,5,40.0,gini,0.7077010192525481,0.49474576271186443,0.7051184333644576,0.48965951378386496
1,5,5,20.0,gini,0.7075877689694224,0.4977966101694915,0.7050604916637631,0.49231686664980157
2,20,1,40.0,gini,0.6904869762174407,0.5064406779661017,0.6876801444087983,0.5010824896618651
3,20,10,,entropy,0.6432616081540204,0.5189830508474575,0.6401230852137558,0.5152702696548788
4,2,2,10.0,gini,0.7397508493771234,0.4911864406779662,0.7375297123070197,0.4857220749612431
5,5,2,10.0,entropy,0.7267270668176671,0.5044067796610169,0.7250110531069361,0.5001235277057379
6,5,10,40.0,gini,0.6477916194790487,0.5208474576271186,0.6432436729290417,0.5148384398750188
7,10,1,10.0,entropy,0.7030577576443942,0.5038983050847458,0.7003916117990646,0.4983468460137416
8,2,1,10.0,entropy,0.7630804077010194,0.49745762711864405,0.7616037322183378,0.4934752008850891
9,20,5,,gini,0.6714609286523217,0.5088135593220339,0.6686293791709336,0.5029285600838056
