,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.4293318233295583,0.42457627118644065,0.2590560314935343,0.25350108140079536
1,3.0,0.43023782559456397,0.42457627118644065,0.26101247156648133,0.25350108140079536
2,5.0,0.44722536806342017,0.4406779661016949,0.3103192311638458,0.3008075408035649
3,7.0,0.4979614949037372,0.481864406779661,0.4069348260759596,0.3869862483263749
4,11.0,0.557757644394111,0.5250847457627119,0.5178304594246403,0.48144180881385773
5,13.0,0.5746319365798415,0.5403389830508474,0.549195201725084,0.5136263355092917
6,20.0,0.592638731596829,0.556271186440678,0.5822544180948868,0.5457140729045079
7,30.0,0.6038505096262741,0.5610169491525424,0.597587815636373,0.5539862907092497
8,50.0,0.6281993204983012,0.5579661016949153,0.6228750003529764,0.5518259736952951
9,70.0,0.6425821064552661,0.5601694915254238,0.6383163993955673,0.5547244995453002
10,90.0,0.6530011325028313,0.5577966101694914,0.6494928814931271,0.5529339796905972
11,120.0,0.6702151755379389,0.5545762711864406,0.6678375668572732,0.5504819660515656
12,150.0,0.6831257078142695,0.5503389830508473,0.681246453966275,0.5462059351351031
13,200.0,0.70317100792752,0.5442372881355932,0.7021642492002141,0.5410053508516905
