,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.7969422423556058,0.474406779661017,0.7914467360891271,0.4500180393301062
1,3.0,0.8746319365798415,0.48474576271186437,0.8741200954911917,0.4783547567193066
2,5.0,0.9146092865232163,0.4961016949152543,0.9143708417353403,0.4901991483069203
3,7.0,0.9354473386183466,0.49711864406779654,0.9353218377085838,0.49309665320790447
4,11.0,0.9527746319365799,0.4988135593220339,0.9527688726686063,0.4944045312614329
5,13.0,0.9573046432616081,0.5057627118644068,0.9572524221573389,0.5013945214836945
6,20.0,0.9644394110985278,0.5096610169491527,0.9644298519998944,0.5051582135540114
7,30.0,0.9682899207248017,0.5108474576271187,0.9683192300515417,0.5068127481014268
8,50.0,0.9689694224235561,0.5101694915254238,0.9690033038212377,0.5056722167106449
9,70.0,0.9693091732729332,0.5164406779661017,0.9693453751608025,0.5128968156582234
10,90.0,0.969422423556059,0.5166101694915254,0.9694771684778623,0.5124421541392087
11,120.0,0.969422423556059,0.514406779661017,0.9694297361007556,0.5106237986423557
12,150.0,0.969422423556059,0.5167796610169492,0.9694678601800619,0.5132883986464805
13,200.0,0.969422423556059,0.5142372881355932,0.9694599873107628,0.5102573519490261
