,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.6690826727066816,0.5340677966101695,0.6689603195143341,0.5327340181742299
1,3.0,0.6812004530011325,0.5327118644067796,0.681428024440094,0.5311835743425007
2,5.0,0.7016987542468855,0.5374576271186441,0.7018347884065937,0.5350507490528031
3,7.0,0.7171007927519818,0.5384745762711864,0.7175402900236882,0.5364515001033905
4,11.0,0.74960362400906,0.5383050847457627,0.7503698980436556,0.5357226613134585
5,13.0,0.7687429218573045,0.5374576271186441,0.7693245806644216,0.5349560083889352
6,15.0,0.7816534541336353,0.5377966101694914,0.782324965505496,0.5355537717432485
7,17.0,0.7977349943374858,0.5315254237288135,0.7984008628145899,0.5294150529567534
8,20.0,0.8224235560588902,0.5296610169491525,0.82316859145986,0.5280036233489213
9,25.0,0.853907134767837,0.5293220338983051,0.8547443451994761,0.5275055048035895
10,30.0,0.8783691959229897,0.5259322033898305,0.8790970374774929,0.5243009328281245
11,40.0,0.9095130237825593,0.5208474576271186,0.9099830072170976,0.5194810399362239
12,50.0,0.9284258210645527,0.5189830508474575,0.9287463894167362,0.5171032989994165
