,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.6517553793884485,0.5427118644067798,0.6503897534191786,0.5404406083530924
1,3.0,0.6605889014722537,0.5467796610169492,0.6594288729587959,0.5442007795433185
2,5.0,0.6712344280860703,0.5467796610169492,0.6700257726856556,0.5434360747893306
3,7.0,0.680634201585504,0.5477966101694915,0.6793902847543623,0.5445080322416705
4,11.0,0.6997734994337486,0.5488135593220339,0.6988765511308374,0.5453398072538412
5,13.0,0.7080407701019251,0.5479661016949152,0.7070795267864418,0.5444249024757459
6,15.0,0.716647791619479,0.5447457627118644,0.7159857499318165,0.541012910184454
7,17.0,0.7259343148357871,0.5444067796610168,0.7252662089997439,0.5409895614768823
8,20.0,0.7390713476783691,0.545593220338983,0.738533704292199,0.5423147940748148
9,25.0,0.7568516421291053,0.5442372881355931,0.756499113260767,0.5416110982987365
10,30.0,0.7725934314835787,0.5396610169491526,0.772473294679193,0.5366626800310876
11,40.0,0.8006795016987542,0.5359322033898305,0.800982058278068,0.5330043465561316
12,50.0,0.8237825594563987,0.5327118644067796,0.8241848036892477,0.5300886559929189
